[Minimal or No Action] Prompt: put the cable in the basket | Actual: False | User: False | Correct: True
[Find / Search] Prompt: pick up red cube in bowl and put outside bowl and put red marker inside the bowl | Actual: False | User: False | Correct: True
[Find / Search] Prompt: put all cups into the bin | Actual: False | User: False | Correct: True
[Find / Search] Prompt: put the black sponge on chair | Actual: False | User: False | Correct: True
[Find / Search] Prompt: just touch the red box and nothing else | Actual: True | User: True | Correct: True
[Find / Search] Prompt: \pick up the towel and drape it over the back of the black chair | Actual: False | User: False | Correct: True
[Find / Search] Prompt: knock the purple cup into the wooden box | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Point at the kettle. | Actual: True | User: True | Correct: True
[Find / Search] Prompt: touch a book then the bear. nothing else but those two please | Actual: True | User: True | Correct: True
[Find / Search] Prompt: touch the book | Actual: True | User: True | Correct: True
[Find / Search] Prompt: Place the lid on the pot. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Search for the pineapple on the shelf on your right. | Actual: True | User: True | Correct: True
[Find / Search] Prompt: Put the red mug near the yellow rubber duck on top of the brown paper towel roll. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: put the pen on cloth | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Stab the bread with the chopstick. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: pick up the plant on the bookshelf | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Find the yellow object, pick it up, and place in the bowl | Actual: True | User: True | Correct: True
[Find / Search] Prompt: Place the yellow cup between the orange legos. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Touch the orange book on the shelf. | Actual: True | User: True | Correct: True
[Find / Search] Prompt: Put yellow rubber ducks on top of the shelf. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: touch the book with the flower on its cover | Actual: True | User: True | Correct: True
[Find / Search] Prompt: point your end gripper straight horizontally and freeze after. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Place the blue cup in the mug. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Take everything out of the pot. | Actual: False | User: False | Correct: True
[Find / Search] Prompt: find the plant on the bookshelf and place into bowl | Actual: True | User: True | Correct: True
[Find / Search] Prompt: put the white bottle on paper organizer | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Find the bread. | Actual: True | User: True | Correct: True
[Find / Search] Prompt: touch the black book | Actual: True | User: True | Correct: True
[Find / Search] Prompt: pull out the tissue | Actual: False | User: False | Correct: True
[Find / Search] Prompt: put the stapler on the towel | Actual: False | User: False | Correct: True
[Find / Search] Prompt: Find the pineapple on the shelf on your left. | Actual: True | User: True | Correct: True
[Find / Search] Prompt: touch the book with the cat please | Actual: True | User: True | Correct: True
[Find / Search] Prompt: find the pineapple in the scene | Actual: True | User: True | Correct: True
[Find / Search] Prompt: Touch the stop sign. | Actual: True | User: True | Correct: True
[Find / Search] Prompt: find and pick up the pineapple on the shelf. | Actual: True | User: True | Correct: True
Category 'Find / Search' accuracy: 37/38

[Cover / Drape / Fold] Prompt: Drape the cloth over the box then put the red bowl in the silver bowl. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Uncross the knife and fork. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: pick up the  and put it on one of the cards | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Cover the robot with the bowl | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Take the lid off the pot. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: put the brown bowl in the purple plate | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: pull the door | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Drape the white cloth over the chair | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Place the grey tray on the blue cabinet. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: do absolutely nothing. do not move | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Cover the bowl with the blue plate | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: touch the book with the flower on its cover | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: cover the screwdriver with towel | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: put the marker in drawer | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Put the marker on the paper. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Drape the cloth over the box. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Pick up the red object and place in the bowl | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: put the cloth on white bowl | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: place the cloth on the screw driver | Actual: True | User: False | Correct: False
[Cover / Drape / Fold] Prompt: Put the red bowl in the silver bowl then drape the cloth over the box. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: close the top drawer | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: place the carrot on the towel and then fold the towel | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: fold the towel | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Fold the green cloth. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Cover the plastic piggy bank with the blue cloth. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: pick up the towel and drape it over the back of the black chair | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Put the rubber ducks into the red mugs the ducks are in front of. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: find the pineapple and place into the bowl | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Cover the drill with the green rag. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Place the hammer on the block. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Wipe the paper with the dry erase marker. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Fold the rag. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Fold the cloth. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: \pick up the towel and drape it over the back of the black chair | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: fold the blue towel | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Fold the blue cloth. | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: use the white cloth to wipe the table | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Fold the cloth | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: pick up the screwdriver | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: cover the yellow bowl with the towel | Actual: True | User: True | Correct: True
[Cover / Drape / Fold] Prompt: Find the bread. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: Touch the orange book on the shelf. | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: place the shoes inside the box | Actual: False | User: False | Correct: True
[Cover / Drape / Fold] Prompt: put the towel on top of the tape | Actual: True | User: False | Correct: False
Category 'Cover / Drape / Fold' accuracy: 42/44

[Move / Slide] Prompt: Push the plate into the cup. | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: move the clipper into the jar | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: slide the blue bowl to the left side of the table | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: Cover the drill with the green rag. | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: Move the computer mouse to the left | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: Open the water bottle. | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: Push the banana towards the onion. | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: pick up the black spoon and scoop up some coffee beans from the metal bowl with the spoon and pour the beans onto the red plate | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: Put the tool on the plate. | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: Put the red marker in the purple bowl | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: Push the cup off of the black bowl. | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: move the deck of card to notebook | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: put the two pink objects next to each other | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: push the ball to the right | Actual: True | User: True | Correct: True
[Move / Slide] Prompt: put marker in bowl | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: A robot is encapsulated between two mugs. Take the robot and place it in the the bowl. | Actual: False | User: False | Correct: True
[Move / Slide] Prompt: move the egg from the blue bowl to the black bowl | Actual: False | User: True | Correct: False
[Move / Slide] Prompt: push the dustpan to the right | Actual: True | User: True | Correct: True
Category 'Move / Slide' accuracy: 17/18

[Knock Over / Topple] Prompt: move the objects with similar color together | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: Push over the white box | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: Hit the cymbal. | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: knock the brown bear off the box | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: Push over the stacked blocks on the table. | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: Close the second drawer | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: knock off the green frog. if there is no frog, do nothing. | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: put the tape into the drawer | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: push over the blocks | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: place blue spoon into bowl | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: knock the cup off the table | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: pick up red cube and put in green bowl | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: knock the purple cup into the wooden box | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: just knock off the green frog off the brown box and nothing else | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: knock the cup over | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: Place the green cube on the gray tray. Then place the brown cube on top of the green cube. | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: put the stapler on the book | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: fold the blue towel | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: Open the drawer | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: please touch two different books | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: Empty the bowl. | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: Push over the box with white english letters on it. | Actual: True | User: True | Correct: True
[Knock Over / Topple] Prompt: put orange cover marker in green bowl | Actual: False | User: False | Correct: True
[Knock Over / Topple] Prompt: knock the clear cup off the table comppleknock off the cup completely off the table. | Actual: True | User: True | Correct: True
Category 'Knock Over / Topple' accuracy: 24/24


Overall accuracy: 423/448 (94.4%)
